1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 520000003995C821
Is Mission Active?  true
Mission Start:  Mon Jan 22 15:27:00 PST 2018
Sample Rate:  Every 120 minute(s)
Number of Mission Samples:  2219
Total Samples:  10841
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
1/22/18 3:27:00 PM,C,23
1/22/18 5:27:00 PM,C,21.5
1/22/18 7:27:00 PM,C,21
1/22/18 9:27:00 PM,C,21
1/22/18 11:27:00 PM,C,21
1/23/18 1:27:00 AM,C,21
1/23/18 3:27:00 AM,C,21
1/23/18 5:27:00 AM,C,21
1/23/18 7:27:00 AM,C,21
1/23/18 9:27:00 AM,C,20.5
1/23/18 11:27:00 AM,C,26
1/23/18 1:27:00 PM,C,31
1/23/18 3:27:00 PM,C,23.5
1/23/18 5:27:00 PM,C,9.5
1/23/18 7:27:00 PM,C,6
1/23/18 9:27:00 PM,C,3.5
1/23/18 11:27:00 PM,C,2.5
1/24/18 1:27:00 AM,C,4
1/24/18 3:27:00 AM,C,0.5
1/24/18 5:27:00 AM,C,2
1/24/18 7:27:00 AM,C,0.5
1/24/18 9:27:00 AM,C,20
1/24/18 11:27:00 AM,C,25
1/24/18 1:27:00 PM,C,25.5
1/24/18 3:27:00 PM,C,19.5
1/24/18 5:27:00 PM,C,9
1/24/18 7:27:00 PM,C,2
1/24/18 9:27:00 PM,C,5.5
1/24/18 11:27:00 PM,C,-1
1/25/18 1:27:00 AM,C,1.5
1/25/18 3:27:00 AM,C,5.5
1/25/18 5:27:00 AM,C,6
1/25/18 7:27:00 AM,C,5.5
1/25/18 9:27:00 AM,C,12
1/25/18 11:27:00 AM,C,15.5
1/25/18 1:27:00 PM,C,18
1/25/18 3:27:00 PM,C,13
1/25/18 5:27:00 PM,C,6
1/25/18 7:27:00 PM,C,5.5
1/25/18 9:27:00 PM,C,5
1/25/18 11:27:00 PM,C,4.5
1/26/18 1:27:00 AM,C,4
1/26/18 3:27:00 AM,C,4
1/26/18 5:27:00 AM,C,4
1/26/18 7:27:00 AM,C,4
1/26/18 9:27:00 AM,C,10.5
1/26/18 11:27:00 AM,C,15
1/26/18 1:27:00 PM,C,16
1/26/18 3:27:00 PM,C,15
1/26/18 5:27:00 PM,C,8
1/26/18 7:27:00 PM,C,7.5
1/26/18 9:27:00 PM,C,8
1/26/18 11:27:00 PM,C,8
1/27/18 1:27:00 AM,C,6
1/27/18 3:27:00 AM,C,7
1/27/18 5:27:00 AM,C,9
1/27/18 7:27:00 AM,C,10
1/27/18 9:27:00 AM,C,16.5
1/27/18 11:27:00 AM,C,22
1/27/18 1:27:00 PM,C,20.5
1/27/18 3:27:00 PM,C,18.5
1/27/18 5:27:00 PM,C,13
1/27/18 7:27:00 PM,C,13.5
1/27/18 9:27:00 PM,C,14.5
1/27/18 11:27:00 PM,C,6.5
1/28/18 1:27:00 AM,C,4.5
1/28/18 3:27:00 AM,C,9
1/28/18 5:27:00 AM,C,4.5
1/28/18 7:27:00 AM,C,8
1/28/18 9:27:00 AM,C,25.5
1/28/18 11:27:00 AM,C,30.5
1/28/18 1:27:00 PM,C,33
1/28/18 3:27:00 PM,C,29
1/28/18 5:27:00 PM,C,11.5
1/28/18 7:27:00 PM,C,14.5
1/28/18 9:27:00 PM,C,12
1/28/18 11:27:00 PM,C,8
1/29/18 1:27:00 AM,C,6.5
